,propertyLink,dateAdded,propertyTypeRaw,propertyType,propertyAddress,propertyPrice,propertyAgency,propertyNumber,dateScraped
0,https://www.rightmove.co.uk/properties/112839707#/?channel=RES_BUY,Reduced on 22/12/2021 ,4 bedroom detached bungalow for sale,detached,"HALESOWEN, Blakedown Road",475000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
1,https://www.rightmove.co.uk/properties/98914790#/?channel=RES_BUY,Reduced on 01/07/2021 ,4 bedroom detached house for sale,detached,"Longlands Road, Halesowen",635000,"Bloore King & Kavanagh, Halesowen",0121 396 0482,2021-12-29 18:34:25.736971
2,https://www.rightmove.co.uk/properties/112701866#/?channel=RES_BUY,Reduced on 12/10/2021 ,4 bedroom detached bungalow for sale,detached,"Haden Hill Road, Halesowen, B63",550000,"Hicks Hadley, Halesowen",0121 396 0594,2021-12-29 18:34:25.736971
3,https://www.rightmove.co.uk/properties/117865448#/?channel=RES_BUY,Added on 21/12/2021 ,3 bedroom detached bungalow for sale,detached,"Grange Road, Halesowen",500000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
4,https://www.rightmove.co.uk/properties/112839707#/?channel=RES_BUY,Reduced on 22/12/2021 ,4 bedroom detached bungalow for sale,detached,"HALESOWEN, Blakedown Road",475000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
5,https://www.rightmove.co.uk/properties/112909709#/?channel=RES_BUY,Reduced on 22/12/2021 ,4 bedroom detached bungalow for sale,detached,"Blakedown Road, Halesowen",475000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
6,https://www.rightmove.co.uk/properties/118042595#/?channel=RES_BUY,Added on 17/09/2021 ,4 bedroom detached house for sale,detached,"Cherry Tree Lane, HALESOWEN",465000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
7,https://www.rightmove.co.uk/properties/115202495#/?channel=RES_BUY,Added on 22/10/2021 ,3 bedroom detached bungalow for sale,detached,"HALESOWEN, Quarry Lane",450000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
8,https://www.rightmove.co.uk/properties/115491632#/?channel=RES_BUY,Added on 28/10/2021 ,4 bedroom detached house for sale,detached,"Tenterfields, Halesowen",450000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
9,https://www.rightmove.co.uk/properties/117111161#/?channel=RES_BUY,Added on 01/12/2021 ,4 bedroom link detached house for sale,detached,"Hamilton Avenue, Halesowen, West Midlands",450000,"property1stop, Rowley Regis",0121 396 0732,2021-12-29 18:34:25.736971
10,https://www.rightmove.co.uk/properties/115370795#/?channel=RES_BUY,Reduced on 06/12/2021 ,4 bedroom detached house for sale,detached,"Cavalier Drive, Halesowen",435000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
11,https://www.rightmove.co.uk/properties/114142256#/?channel=RES_BUY,Reduced on 18/10/2021 ,3 bedroom detached house for sale,detached,"Hagley Road,Halesowen,B63 4QQ",425000,"eXp UK, West Midlands",03304 609968,2021-12-29 18:34:25.736971
